tba,  \boldsymbol{a}
tbb,  \boldsymbol{b}
tbc,  \boldsymbol{c}
tbd,  \boldsymbol{d}
tbe,  \boldsymbol{e}
tbf,  \boldsymbol{f}
tbg,  \boldsymbol{g}
tbh,  \boldsymbol{h}
tbi,  \boldsymbol{i}
tbj,  \boldsymbol{j}
tbk,  \boldsymbol{k}
tbl,  \boldsymbol{l}
tbm,  \boldsymbol{m}
tbn,  \boldsymbol{n}
tbo,  \boldsymbol{o}
tbp,  \boldsymbol{p}
tbq,  \boldsymbol{q}
tbr,  \boldsymbol{r}
tbs,  \boldsymbol{s}
tbt,  \boldsymbol{t}
tbu,  \boldsymbol{u}
tbv,  \boldsymbol{v}
tbw,  \boldsymbol{w}
tbx,  \boldsymbol{x}
tby,  \boldsymbol{y}
tbz,  \boldsymbol{z}
tbA,  \boldsymbol{A}
tbB,  \boldsymbol{B}
tbC,  \boldsymbol{C}
tbD,  \boldsymbol{D}
tbE,  \boldsymbol{E}
tbF,  \boldsymbol{F}
tbG,  \boldsymbol{G}
tbH,  \boldsymbol{H}
tbI,  \boldsymbol{I}
tbJ,  \boldsymbol{J}
tbK,  \boldsymbol{K}
tbL,  \boldsymbol{L}
tbM,  \boldsymbol{M}
tbN,  \boldsymbol{N}
tbO,  \boldsymbol{O}
tbP,  \boldsymbol{P}
tbQ,  \boldsymbol{Q}
tbR,  \boldsymbol{R}
tbS,  \boldsymbol{S}
tbT,  \boldsymbol{T}
tbU,  \boldsymbol{U}
tbV,  \boldsymbol{V}
tbW,  \boldsymbol{W}
tbX,  \boldsymbol{X}
tbY,  \boldsymbol{Y}
tbZ,  \boldsymbol{Z}
xxa,  $a$
xxb,  $b$
xxc,  $c$
xxd,  $d$
xxe,  $e$
xxf,  $f$
xxg,  $g$
xxh,  $h$
xxi,  $i$
xxj,  $j$
xxk,  $k$
xxl,  $l$
xxm,  $m$
xxn,  $n$
xxo,  $o$
xxp,  $p$
xxq,  $q$
xxr,  $r$
xxs,  $s$
xxt,  $t$
xxu,  $u$
xxv,  $v$
xxw,  $w$
xxx,  $x$
xxy,  $y$
xxz,  $z$
xxA,  $A$
xxB,  $B$
xxC,  $C$
xxD,  $D$
xxE,  $E$
xxF,  $F$
xxG,  $G$
xxH,  $H$
xxI,  $I$
xxJ,  $J$
xxK,  $K$
xxL,  $L$
xxM,  $M$
xxN,  $N$
xxO,  $O$
xxP,  $P$
xxQ,  $Q$
xxR,  $R$
xxS,  $S$
xxT,  $T$
xxU,  $U$
xxV,  $V$
xxW,  $W$
xxX,  $X$
xxY,  $Y$
xxZ,  $Z$
tbax,  $\boldsymbol{a}$
tbbx,  $\boldsymbol{b}$
tbcx,  $\boldsymbol{c}$
tbdx,  $\boldsymbol{d}$
tbex,  $\boldsymbol{e}$
tbfx,  $\boldsymbol{f}$
tbgx,  $\boldsymbol{g}$
tbhx,  $\boldsymbol{h}$
tbix,  $\boldsymbol{i}$
tbjx,  $\boldsymbol{j}$
tbkx,  $\boldsymbol{k}$
tblx,  $\boldsymbol{l}$
tbmx,  $\boldsymbol{m}$
tbnx,  $\boldsymbol{n}$
tbox,  $\boldsymbol{o}$
tbpx,  $\boldsymbol{p}$
tbqx,  $\boldsymbol{q}$
tbrx,  $\boldsymbol{r}$
tbsx,  $\boldsymbol{s}$
tbtx,  $\boldsymbol{t}$
tbux,  $\boldsymbol{u}$
tbvx,  $\boldsymbol{v}$
tbwx,  $\boldsymbol{w}$
tbxx,  $\boldsymbol{x}$
tbyx,  $\boldsymbol{y}$
tbzx,  $\boldsymbol{z}$
tbAx,  $\boldsymbol{A}$
tbBx,  $\boldsymbol{B}$
tbCx,  $\boldsymbol{C}$
tbDx,  $\boldsymbol{D}$
tbEx,  $\boldsymbol{E}$
tbFx,  $\boldsymbol{F}$
tbGx,  $\boldsymbol{G}$
tbHx,  $\boldsymbol{H}$
tbIx,  $\boldsymbol{I}$
tbJx,  $\boldsymbol{J}$
tbKx,  $\boldsymbol{K}$
tbLx,  $\boldsymbol{L}$
tbMx,  $\boldsymbol{M}$
tbNx,  $\boldsymbol{N}$
tbOx,  $\boldsymbol{O}$
tbPx,  $\boldsymbol{P}$
tbQx,  $\boldsymbol{Q}$
tbRx,  $\boldsymbol{R}$
tbSx,  $\boldsymbol{S}$
tbTx,  $\boldsymbol{T}$
tbUx,  $\boldsymbol{U}$
tbVx,  $\boldsymbol{V}$
tbWx,  $\boldsymbol{W}$
tbXx,  $\boldsymbol{X}$
tbYx,  $\boldsymbol{Y}$
tbZx,  $\boldsymbol{Z}$
xxba,  $\boldsymbol{a}$
xxbb,  $\boldsymbol{b}$
xxbc,  $\boldsymbol{c}$
xxbd,  $\boldsymbol{d}$
xxbe,  $\boldsymbol{e}$
xxbf,  $\boldsymbol{f}$
xxbg,  $\boldsymbol{g}$
xxbh,  $\boldsymbol{h}$
xxbi,  $\boldsymbol{i}$
xxbj,  $\boldsymbol{j}$
xxbk,  $\boldsymbol{k}$
xxbl,  $\boldsymbol{l}$
xxbm,  $\boldsymbol{m}$
xxbn,  $\boldsymbol{n}$
xxbo,  $\boldsymbol{o}$
xxbp,  $\boldsymbol{p}$
xxbq,  $\boldsymbol{q}$
xxbr,  $\boldsymbol{r}$
xxbs,  $\boldsymbol{s}$
xxbt,  $\boldsymbol{t}$
xxbu,  $\boldsymbol{u}$
xxbv,  $\boldsymbol{v}$
xxbw,  $\boldsymbol{w}$
xxbx,  $\boldsymbol{x}$
xxby,  $\boldsymbol{y}$
xxbz,  $\boldsymbol{z}$
xxbA,  $\boldsymbol{A}$
xxbB,  $\boldsymbol{B}$
xxbC,  $\boldsymbol{C}$
xxbD,  $\boldsymbol{D}$
xxbE,  $\boldsymbol{E}$
xxbF,  $\boldsymbol{F}$
xxbG,  $\boldsymbol{G}$
xxbH,  $\boldsymbol{H}$
xxbI,  $\boldsymbol{I}$
xxbJ,  $\boldsymbol{J}$
xxbK,  $\boldsymbol{K}$
xxbL,  $\boldsymbol{L}$
xxbM,  $\boldsymbol{M}$
xxbN,  $\boldsymbol{N}$
xxbO,  $\boldsymbol{O}$
xxbP,  $\boldsymbol{P}$
xxbQ,  $\boldsymbol{Q}$
xxbR,  $\boldsymbol{R}$
xxbS,  $\boldsymbol{S}$
xxbT,  $\boldsymbol{T}$
xxbU,  $\boldsymbol{U}$
xxbV,  $\boldsymbol{V}$
xxbW,  $\boldsymbol{W}$
xxbX,  $\boldsymbol{X}$
xxbY,  $\boldsymbol{Y}$
xxbZ,  $\boldsymbol{Z}$
say,  \mathscr{A}
sby,  \mathscr{B}
scy,  \mathscr{C}
sdy,  \mathscr{D}
sey,  \mathscr{E}
sfy,  \mathscr{F}
sgy,  \mathscr{G}
shy,  \mathscr{H}
siy,  \mathscr{I}
sjy,  \mathscr{J}
sky,  \mathscr{K}
sly,  \mathscr{L}
smy,  \mathscr{M}
sny,  \mathscr{N}
soy,  \mathscr{O}
spy,  \mathscr{P}
sqy,  \mathscr{Q}
sry,  \mathscr{R}
ssy,  \mathscr{S}
sty,  \mathscr{T}
suy,  \mathscr{U}
svy,  \mathscr{V}
swy,  \mathscr{W}
sxy,  \mathscr{X}
syy,  \mathscr{Y}
szy,  \mathscr{Z}
sayx,  $\mathscr{A}$
sbyx,  $\mathscr{B}$
scyx,  $\mathscr{C}$
sdyx,  $\mathscr{D}$
seyx,  $\mathscr{E}$
sfyx,  $\mathscr{F}$
sgyx,  $\mathscr{G}$
shyx,  $\mathscr{H}$
siyx,  $\mathscr{I}$
sjyx,  $\mathscr{J}$
skyx,  $\mathscr{K}$
slyx,  $\mathscr{L}$
smyx,  $\mathscr{M}$
snyx,  $\mathscr{N}$
soyx,  $\mathscr{O}$
spyx,  $\mathscr{P}$
sqyx,  $\mathscr{Q}$
sryx,  $\mathscr{R}$
ssyx,  $\mathscr{S}$
styx,  $\mathscr{T}$
suyx,  $\mathscr{U}$
svyx,  $\mathscr{V}$
swyx,  $\mathscr{W}$
sxyx,  $\mathscr{X}$
syyx,  $\mathscr{Y}$
szyx,  $\mathscr{Z}$
a,  \alpha
b,  \beta
g,  \gamma
d,  \delta
e,  \epsilon
z,  \zeta
h,  \eta
q,  \theta
i,  \iota
k,  \kappa
l,  \lambda
m,  \mu
n,  \nu
x,  \xi
o,  \omicron
p,  \pi
r,  \rho
s,  \sigma
t,  \tau
u,  \upsilon
f,  \phi
c,  \chi
y,  \psi
w,  \omega
